Obs,PhoneType,Email,NumberofCampaigns,ProdActive,ProdBought,Socieconomic Status,Province,Right Address,Living Area (m^2),Estimated number of cars,Probability of Second Residence,Number of Mobile Phones,Number of Fixed Lines,ADSL,3G Devices,Type of House,House Price_imp,Income_imp,House Insurance_imp,Pension Plan_imp,Credit_imp,Savings_imp,tenureYrs,tenureYrs_z,tenureGrp,ageYrs,ageGrp,builtYrs,builtYrs_z,builtYrsGrp,livingArea_z,livingAreaGrp,HousePrice_imp_z,HousePrice_impGrp,HouseInsurance_imp_z,HouseInsurance_impGrp,Income_imp_z,Income_impGrp,PensionPlan_imp_z,PensionPlan_impGrp,Savings_imp_z,Savings_impGrp,Credit_imp_z,Credit_impGrp
730,MOBILE PHONE,0,2,0,0,Medium,BA,Right,90.9324,One,Low,3.0,1.0,0.0,0.0,Urban,217969.377795,45384.24051,7580.993400000001,38156.88109600001,17407.512762000002,53025.142320000006,7,0.8450980400142568,>25yrs,63.0,55-65yrs,46.0,1.662757831681574,40-50yrs,4.521053524355293,up_100m2,5.338395484481697,100-250k,3.879726118543702,7.5-10k,4.656905072070154,40-60k,4.58157286870098,25-50k,10.878540322246568,50-100k,4.240736722242801,up_25k
731,MOBILE PHONE,0,2,0,0,High,TA,Right,99.7362,None,Low,3.0,0.0,1.0,0.0,Urban,139104.82579499998,37842.51051,4796.4654,24337.407496,11064.993162,0.0,7,0.8450980400142568,up_10yrs,36.0,up_40yrs,55.0,1.7403626894942439,50-60yrs,4.61250521874046,up_100m2,5.143342196705095,100-250k,3.6809213159709517,2.5-5k,4.577979940215832,25-40k,4.38627431382226,up_25k,0.0,up_25k,4.043951149875876,up_25k
732,FIXED / LAND PHONE,0,4,0,0,Very High,MA,Right,180.5114,One,Low,2.0,1.0,0.0,1.0,Urban,227577.651795,62138.51091000001,7920.239399999998,39840.564296,9057.165762,34976.31732000002,8,0.9030899869919435,up_10yrs,47.0,40-55yrs,27.0,1.4313637641589874,20-30yrs,5.201318461649801,100-200m2,5.3571296119469,100-250k,3.898738308928841,7.5-10k,4.7933608415916495,60-80k,4.600325481079557,25-50k,10.462455053807727,25-50k,3.9569923161653215,up_25k
733,MOBILE PHONE,0,2,0,0,Very High,LA,Right,75.18740000000003,None,Low,0.0,1.0,1.0,1.0,Urban,202241.793195,43068.75111000001,7547.333399999998,15881.525096000001,7560.231161999999,7204.657320000001,7,0.8450980400142568,up_10yrs,69.0,65-75yrs,68.0,1.8325089127062364,>60yrs,4.333196094689358,up_100m2,5.305870907330341,100-250k,3.8777935351751953,7.5-10k,4.634162278451726,40-60k,4.200892205205309,up_25k,8.882621735361841,up_25k,3.878535074713668,up_25k
734,MOBILE PHONE,0,2,0,0,Medium,BA,Right,142.911,two,Low,0.0,2.0,0.0,1.0,Rustic,453425.793795,124159.89411,15894.4014,41953.797896,36343.633362,111219.10632,8,0.9030899869919435,20-25yrs,53.0,40-55yrs,100.0,2.0,>60yrs,4.969195052945376,100-200m2,5.656506221975337,250-500k,4.201244176568366,>10k,5.093981333525402,>100k,4.62277128174676,25-50k,11.619266456684274,100-250k,4.560428342624988,25-50k
735,MOBILE PHONE,0,4,0,0,Medium,LL,Right,77.7736,None,Low,2.0,1.0,0.0,1.0,Urban,179330.40859500004,33234.13611,4203.9594,21396.804296,9715.387962,0.0,9,0.9542425094393249,>25yrs,58.0,55-65yrs,51.0,1.7075701760979363,50-60yrs,4.366577915349582,up_100m2,5.253653938002059,100-250k,3.6236585131504224,2.5-5k,4.521584394181735,25-40k,4.330348914458981,up_25k,0.0,up_25k,3.987460147847959,up_25k
736,FIXED / LAND PHONE,0,18,0,2,Very High,CO,Right,145.39,One,Low,2.0,1.0,1.0,1.0,Urban,213273.243495,58210.30971,7415.1774,54296.10909600001,17029.828962,51864.46632000001,28,1.4471580313422192,15-20yrs,73.0,65-75yrs,35.0,1.5440680443502757,30-40yrs,4.98627429318332,100-200m2,5.328936373820921,100-250k,3.870121545508634,5-7.5k,4.764999909970093,40-60k,4.734768708802815,50-100k,10.856408458859926,50-100k,4.2312102861756005,up_25k
737,MOBILE PHONE,0,2,0,0,Very High,SE,Right,212.792,One,Low,0.0,2.0,1.0,1.0,Urban,254850.644295,69628.10211,8883.185399999997,44619.593896,27914.394162,0.0,7,0.8450980400142568,10-15yrs,76.0,>75yrs,14.0,1.146128035678238,10-20yrs,5.365003579743067,200-300m2,5.40628573587807,250-500k,3.948568726316627,7.5-10k,4.842784557542554,60-80k,4.649525613246589,25-50k,0.0,up_25k,4.445828206610395,25-50k
738,MOBILE PHONE,0,2,0,0,Low,AL,Right,131.05200000000002,None,Low,1.0,2.0,0.0,0.0,Urban,160573.43659499998,46706.82471,3256.5294,33047.407496,10569.155562,47700.01332000001,8,0.9030899869919435,up_10yrs,67.0,65-75yrs,55.0,1.7403626894942439,50-60yrs,4.88319578440656,100-200m2,5.205673702247902,100-250k,3.5127550033453945,2.5-5k,4.669380343464205,40-60k,4.5191373956115815,25-50k,10.77270792025666,25-50k,4.024040290106506,up_25k
739,MOBILE PHONE,0,2,0,0,Medium,GR,Right,125.692,None,Low,3.0,0.0,0.0,1.0,Urban,162459.97969500002,44256.20030999999,1334.1474,28429.928296000016,12943.276962,39305.767320000006,8,0.9030899869919435,>25yrs,37.0,up_40yrs,52.0,1.7160033436347992,50-60yrs,4.841758944054988,100-200m2,5.210746394618195,100-250k,3.125203814190899,up_2.5k,4.645974124113661,40-60k,4.453775764344301,25-50k,10.579151979470907,25-50k,4.112044244365222,up_25k
740,MOBILE PHONE,0,2,0,0,Medium,GI,Right,332.29320000000007,two,Low,1.0,1.0,1.0,1.0,Urban,527200.284195,144419.49711,18499.2174,92343.640296,42276.808962,0.0,7,0.8450980400142568,15-20yrs,40.0,up_40yrs,95.0,1.9777236052888478,>60yrs,5.8090225830653655,300-400m2,5.721975635698789,500-750k,4.26715335618406,>10k,5.1596258283838345,>100k,4.965406990956981,50-100k,0.0,up_25k,4.6261021994846,25-50k
741,MOBILE PHONE,0,2,0,0,Low,JA,Right,137.752,None,Low,2.0,0.0,0.0,1.0,Urban,41640.397695,11077.28811,6336.8154,7258.625096,3226.596762,0.0,8,0.9030899869919435,up_10yrs,70.0,65-75yrs,64.0,1.806179973983887,>60yrs,4.932688166937072,100-200m2,4.619514868675175,up_100k,3.8018710557240896,5-7.5k,4.044433451455816,up_25k,3.860854365911065,up_25k,0.0,up_25k,3.508744693640428,up_25k
742,MOBILE PHONE,0,2,0,0,Medium,SE,Right,67.2278,None,Low,1.0,0.0,0.0,1.0,Urban,146443.48699499998,26206.10811,3300.359400000001,16912.253096000004,7657.1797620000025,0.0,8,0.9030899869919435,10-15yrs,41.0,40-55yrs,47.0,1.6720978579357175,40-50yrs,4.2228521064264966,up_100m2,5.165670061404913,100-250k,3.5185612359196607,2.5-5k,4.418402528315796,25-40k,4.228201469335023,up_25k,0.0,up_25k,3.884068842827027,up_25k
743,MOBILE PHONE,0,2,0,0,Very High,BA,Right,112.962,None,Low,2.0,1.0,1.0,0.0,Urban,162431.53699499994,44248.38831,5620.0734,28424.943496000004,12940.989161999998,39298.74732000002,7,0.8450980400142568,10-15yrs,52.0,40-55yrs,57.0,1.7558748556724915,50-60yrs,4.735865059493258,100-200m2,5.2106703538042165,100-250k,3.749741987634329,5-7.5k,4.645897456710212,40-60k,4.45369961005635,25-50k,10.578973368320144,25-50k,4.111967473487228,up_25k
744,FIXED / LAND PHONE,0,2,0,0,Low,BA,Right,154.79680000000005,One,Low,3.0,2.0,1.0,0.0,Rustic,194631.25909500002,53090.929710000004,6756.9714,28335.967495999997,15530.581962,47257.02432,7,0.8450980400142568,up_10yrs,51.0,40-55yrs,33.0,1.5185139398778875,30-40yrs,5.048552594072957,100-200m2,5.28921259216172,100-250k,3.8297520807055774,5-7.5k,4.725020330622518,40-60k,4.452338045669971,25-50k,10.763377745381243,25-50k,4.191187729917215,up_25k
745,MOBILE PHONE,0,2,0,0,Very High,TA,Right,305.25200000000007,One,Low,0.0,0.0,1.0,0.0,Urban,273311.348895,74697.69951,9534.9834,47854.51469600001,21858.292362,60257.65932000001,7,0.8450980400142568,>25yrs,37.0,up_40yrs,29.0,1.462397997898956,20-30yrs,5.724408292449858,300-400m2,5.436657665575363,250-500k,3.979319941294486,7.5-10k,4.873307226909144,60-80k,4.679922916304476,25-50k,11.006401564179246,50-100k,4.339616230498932,up_25k
746,FIXED / LAND PHONE,1,24,0,2,Very High,MA,Right,300.10640000000006,One,Low,0.0,0.0,1.0,1.0,Urban,255824.002395,69895.39851,8917.5474,44790.202696,20451.910362,0.0,18,1.255272505103306,up_10yrs,54.0,40-55yrs,30.0,1.4771212547196624,20-30yrs,5.707463690658674,300-400m2,5.407941289238298,250-500k,3.950245426449274,7.5-10k,4.844448585366634,60-80k,4.651183027828816,25-50k,0.0,up_25k,4.310733880603782,up_25k
747,MOBILE PHONE,0,2,0,0,Medium,TA,Right,64.05199999999999,None,Low,2.0,2.0,1.0,0.0,Rustic,173802.61489499998,47371.05891,6021.5634,30417.523496000005,13855.494162,7620.0523200000025,7,0.8450980400142568,up_10yrs,43.0,40-55yrs,21.0,1.3222192947339193,20-30yrs,4.175186950066201,up_100m2,5.240056306208887,100-250k,3.7797092633247513,5-7.5k,4.675513092847649,40-60k,4.483123852195489,25-50k,8.938669738883334,up_25k,4.141622019688991,up_25k
748,MOBILE PHONE,0,16,2,2,High,LA,Right,116.2986,One,Low,1.0,2.0,1.0,1.0,Urban,234666.108495,64085.12271,8170.5114,41082.69069600001,18750.328362,19263.18132,17,1.2304489213782739,10-15yrs,71.0,65-75yrs,23.0,1.3617278360175928,20-30yrs,4.764722820379339,100-200m2,5.370450371420334,100-250k,3.912249240283607,7.5-10k,4.806757220238534,60-80k,4.613658879817096,25-50k,9.866002760439667,up_25k,4.2730088776400565,up_25k
749,FIXED / LAND PHONE,0,2,0,0,Low,BA,Right,427.19200000000006,two,Low,3.0,2.0,0.0,1.0,Urban,387289.648395,105997.88871,13559.2974,67827.000296,31024.768962000002,487008.75132,8,0.9030899869919435,20-25yrs,65.0,55-65yrs,19.0,1.2787536009528289,10-20yrs,6.059571693122578,400-500m2,5.588035889175573,250-500k,4.132237186344582,>10k,5.02529721497488,>100k,4.8314026104646715,50-100k,13.096039425108618,250-500k,4.49170855604016,25-50k
750,FIXED / LAND PHONE,0,2,0,0,Medium,BA,Right,98.222,One,Low,0.0,0.0,1.0,0.0,Rustic,308618.23999499995,38678.05431,10781.5914,54041.348296,24697.771962,0.0,8,0.9030899869919435,20-25yrs,50.0,40-55yrs,12.0,1.0791812460476249,10-20yrs,4.597359763896114,up_100m2,5.489421590214117,250-500k,4.032682868942459,>10k,4.587464618883457,25-40k,4.7327261758460715,50-100k,0.0,up_25k,4.392657776407306,up_25k
751,FIXED / LAND PHONE,1,30,0,4,Low,CA,Wrong,120.8814,None,Low,3.0,0.0,1.0,1.0,Urban,98300.02279499998,10913.437710000002,4791.5694,26338.241896,18450.970962,61622.77932,23,1.3617278360175928,up_10yrs,49.0,40-55yrs,46.0,1.662757831681574,40-50yrs,4.803048440759774,100-200m2,4.992553618541613,up_100k,3.6804777827521926,2.5-5k,4.037961573990372,up_25k,4.420586782002052,25-50k,11.02880310295408,50-100k,4.266019225364631,up_25k
752,FIXED / LAND PHONE,0,2,0,0,Low,TO,Right,313.2920000000001,None,Low,2.0,2.0,1.0,1.0,Rustic,160735.68049499998,43782.679710000004,5560.2054,28127.78509600001,12804.606762000001,72258.56532000001,8,0.9030899869919435,>25yrs,76.0,>75yrs,23.0,1.3617278360175928,20-30yrs,5.750322490091097,300-400m2,5.206112293204294,100-250k,3.7450908351861787,5-7.5k,4.641302338950753,40-60k,4.449135535277286,25-50k,11.188019989183953,50-100k,4.107366245536518,up_25k
753,FIXED / LAND PHONE,0,2,0,0,Very High,CA,Right,99.83,None,Low,2.0,0.0,0.0,1.0,Urban,102639.950595,27828.698310000003,3508.9794,17947.644296000002,8132.3779620000005,0.0,8,0.9030899869919435,up_10yrs,70.0,65-75yrs,48.0,1.6812412373755872,40-50yrs,4.613435930405124,up_100m2,5.0113164343224055,100-250k,3.5451808186307416,2.5-5k,4.44449289264359,25-40k,4.2540074536727595,up_25k,0.0,up_25k,3.910217554790946,up_25k
754,FIXED / LAND PHONE,0,2,0,0,Very High,JA,Right,106.932,None,Low,3.0,1.0,0.0,0.0,Urban,74464.747695,20091.35331,2514.1734,13010.441095999999,5866.422761999997,0.0,7,0.8450980400142568,up_10yrs,74.0,65-75yrs,40.0,1.6020599913279623,30-40yrs,4.681501399194613,100-200m2,4.87195072234716,up_100k,3.4003952272346605,2.5-5k,4.303009190868238,up_25k,4.1142920207976665,up_25k,0.0,up_25k,3.768373357074118,up_25k
755,MOBILE PHONE,0,2,0,0,Medium,VA,Right,164.55200000000005,One,Low,3.0,1.0,1.0,1.0,Rustic,249281.292195,68098.66371000001,8686.5354,28956.816295999997,19925.716362,16085.389320000006,7,0.8450980400142568,up_10yrs,63.0,55-65yrs,22.0,1.3424226808222062,20-30yrs,5.109285344862595,100-200m2,5.396689687242886,100-250k,3.938846593861079,7.5-10k,4.833138589900051,60-80k,4.461750810940645,25-50k,9.685728809583177,up_25k,4.299413943943738,up_25k
756,MOBILE PHONE,0,2,0,0,Medium,BA,Right,69.1842,None,Low,0.0,1.0,0.0,0.0,Rustic,188970.050295,33309.66051,4213.6614,21444.990696000004,9737.503362000001,0.0,8,0.9030899869919435,15-20yrs,72.0,65-75yrs,55.0,1.7403626894942439,50-60yrs,4.251123214474365,up_100m2,5.276392978658454,100-250k,3.6246596337828083,2.5-5k,4.522570206411231,25-40k,4.3313258621546336,up_25k,0.0,up_25k,3.9884476206264794,up_25k
757,MOBILE PHONE,0,2,0,0,Medium,BA,Right,77.4788,One,Low,0.0,1.0,0.0,1.0,Urban,107029.462995,76687.79391000001,9790.8534,49124.35229600001,22441.090962000002,0.0,8,0.9030899869919435,20-25yrs,76.0,>75yrs,11.0,1.0413926851582251,10-20yrs,4.362828524620329,up_100m2,5.029503346421688,100-250k,3.99082054785604,7.5-10k,4.884726244530692,60-80k,4.6912968372536605,25-50k,0.0,up_25k,4.351043966098368,up_25k
758,MOBILE PHONE,0,2,0,0,Medium,BA,Right,132.392,One,Low,2.0,0.0,1.0,0.0,Rustic,300016.25959499995,82031.27751,5942.0574,52534.009095999994,24005.970762,73303.33032000001,7,0.8450980400142568,up_10yrs,40.0,up_40yrs,45.0,1.6532125137753437,40-50yrs,4.893292161668257,100-200m2,5.477144792256438,250-500k,3.773936842752542,5-7.5k,4.913979475067043,80-100k,4.720440544946113,50-100k,11.202374962800999,50-100k,4.380319272815303,up_25k
759,FIXED / LAND PHONE,0,2,0,0,Medium,VA,Right,200.9062,two,Low,2.0,0.0,1.0,1.0,Urban,487982.223495,133649.62191,17114.5134,85471.423496,19996.342962,119759.85432,7,0.8450980400142568,up_10yrs,58.0,55-65yrs,60.0,1.7781512503836436,50-60yrs,5.307803233118724,200-300m2,5.688404001554665,250-500k,4.233364555784787,>10k,5.125967734490739,>100k,4.931820937038696,50-100k,11.6932521526686,100-250k,4.300950576831642,up_25k
760,FIXED / LAND PHONE,0,6,0,0,Low,MA,Right,70.3634,None,Low,0.0,0.0,1.0,1.0,Urban,151784.23279499993,40492.05111,5137.1154,26028.058696,11840.926361999998,0.0,9,0.9542425094393249,10-15yrs,65.0,55-65yrs,51.0,1.7075701760979363,50-60yrs,4.267785132876642,up_100m2,5.181226659795457,100-250k,3.7107193218116037,5-7.5k,4.607369776353328,40-60k,4.415441777442491,25-50k,0.0,up_25k,4.073385680272639,up_25k
761,MOBILE PHONE,0,6,0,1,Low,PO,Right,100.23200000000001,None,Low,2.0,1.0,1.0,1.0,Urban,170246.11909499994,46394.39511000001,5895.9954,29794.316295999997,13569.469962000001,41230.165320000015,9,0.9542425094393249,up_10yrs,36.0,up_40yrs,45.0,1.6532125137753437,40-50yrs,4.617414912404529,100-200m2,5.231077220585781,100-250k,3.770557136018669,5-7.5k,4.666465516765474,40-60k,4.47413342391817,25-50k,10.62694968918705,25-50k,4.1325628839844,up_25k
762,MOBILE PHONE,0,2,0,0,Low,GR,Right,2.1574,One,Low,2.0,0.0,1.0,1.0,Rustic,195244.701795,53259.39171,6778.625400000001,34174.829895999996,15579.929561999998,0.0,8,0.9030899869919435,>25yrs,47.0,40-55yrs,14.0,1.146128035678238,10-20yrs,1.1497489041154894,up_100m2,5.290579257594587,100-250k,3.831141634616327,5-7.5k,4.726396201935836,40-60k,4.533706361559907,25-50k,0.0,up_25k,4.192565489863897,up_25k
763,MOBILE PHONE,0,2,0,0,Medium,ZA,Wrong,1827.492,None,Low,1.0,0.0,0.0,0.0,Urban,181071.672795,33022.73331,11311.9434,8941.825895999998,26242.184562000002,41038.357319999996,7,0.8450980400142568,up_10yrs,44.0,40-55yrs,45.0,1.6532125137753437,40-50yrs,7.51124686240896,>900m2,5.257850513753756,100-250k,4.0535372234392835,>10k,4.518813017210303,25-40k,3.9514262095777983,up_25k,10.62228681987798,25-50k,4.418999985571429,25-50k
764,FIXED / LAND PHONE,0,2,0,0,Medium,OU,Right,119.9166,None,Low,0.0,0.0,1.0,0.0,Urban,127241.294895,18374.76711,7691.009400000001,16253.509096000002,16444.029162,0.0,8,0.9030899869919435,20-25yrs,39.0,up_40yrs,29.0,1.462397997898956,20-30yrs,4.795101051752135,100-200m2,5.104628080137398,100-250k,3.885983342152741,7.5-10k,4.264221843349002,up_25k,4.210947138638302,up_25k,0.0,up_25k,4.21600823829102,up_25k
765,MOBILE PHONE,0,6,0,0,High,JA,Right,13.0918,None,Low,0.0,1.0,1.0,0.0,Urban,64406.50339499999,17329.20651,2159.0334000000007,11247.965896000005,5057.525562,0.0,10,1.0,up_10yrs,67.0,65-75yrs,11.0,1.0413926851582251,10-20yrs,2.645593067928661,up_100m2,4.808929722110777,up_100k,3.3342593608722098,up_2.5k,4.238778677184893,up_25k,4.051073990890412,up_25k,0.0,up_25k,3.703938086481397,up_25k
766,MOBILE PHONE,0,2,0,0,Low,CA,Right,89.4584,None,Low,2.0,1.0,1.0,1.0,Urban,161246.560995,31578.748110000004,5578.2414,28217.29709600001,12845.688762000002,39005.878319999996,8,0.9030899869919435,up_10yrs,44.0,40-55yrs,53.0,1.724275869600789,50-60yrs,4.504890076517638,up_100m2,5.207490460939421,100-250k,3.746497304555244,5-7.5k,4.4993949090891325,25-40k,4.45051541081763,25-50k,10.571493276740409,25-50k,4.108757395291079,up_25k
767,FIXED / LAND PHONE,0,2,0,0,Low,VA,Right,147.5876,None,Low,0.0,2.0,1.0,0.0,Rustic,169448.12059499993,46175.25591,5867.8074,40862.019496000015,13505.288562000002,7389.4183200000025,8,0.9030899869919435,10-15yrs,48.0,40-55yrs,18.0,1.255272505103306,10-20yrs,5.001174683310638,100-200m2,5.229036756296754,100-250k,3.768475850486523,5-7.5k,4.664409311042282,40-60k,4.611319826669791,25-50k,8.907939618564804,up_25k,4.1305038680159125,up_25k
768,MOBILE PHONE,0,2,0,0,Very High,CA,Right,165.59720000000004,None,Low,2.0,2.0,1.0,1.0,Urban,164354.899995,44776.58031000001,5687.9874,39179.247495999996,13095.673962,39774.109319999996,8,0.9030899869919435,10-15yrs,38.0,up_40yrs,38.0,1.5797835966168101,30-40yrs,5.115578922868819,100-200m2,5.215782656449693,100-250k,3.754958625675906,5-7.5k,4.6510509224451635,40-60k,4.593056090375582,25-50k,10.5909966016623,25-50k,4.117127854074401,up_25k
769,FIXED / LAND PHONE,0,2,0,0,Medium,BA,Right,377.61199999999997,two,Low,2.0,2.0,0.0,1.0,Urban,455392.201095,124699.89231,15963.845399999998,79760.665096,36501.786762,194393.63232,8,0.9030899869919435,up_10yrs,71.0,65-75yrs,52.0,1.7160033436347992,50-60yrs,5.936511933994002,300-400m2,5.658385588750778,250-500k,4.2031375132580635,>10k,5.09586607842487,>100k,4.901788766746909,50-100k,12.177645559104636,100-250k,4.562314123686191,25-50k
770,MOBILE PHONE,0,2,0,0,Medium,TO,Right,150.8036,None,Low,0.0,2.0,1.0,0.0,Urban,165588.78199499994,45115.41951,5731.5474,19273.011496000006,13194.910362,0.0,8,0.9030899869919435,up_10yrs,52.0,40-55yrs,13.0,1.1139433523068367,10-20yrs,5.022587580095343,100-200m2,5.2190309116596545,100-250k,3.7582718883821116,5-7.5k,4.6543250000508145,40-60k,4.284949580452492,up_25k,0.0,up_25k,4.120406444239964,up_25k
771,MOBILE PHONE,0,2,0,0,Very High,MA,Right,75.2008,None,Low,2.0,2.0,1.0,1.0,Urban,80347.56619499999,86596.79931000003,4769.2314000000015,42087.583496000014,10358.776362,12466.87632,8,0.9030899869919435,up_10yrs,43.0,40-55yrs,47.0,1.6720978579357175,40-50yrs,4.333371961325154,up_100m2,4.904972726101355,up_100k,3.678448394630361,2.5-5k,4.937501840427353,80-100k,4.624153990977757,25-50k,9.430910721043352,up_25k,4.015308457087095,up_25k
772,MOBILE PHONE,0,2,0,0,Very High,LA,Right,64.3066,None,Low,1.0,2.0,0.0,1.0,Urban,82593.06529500001,22323.51891000001,2801.1654000000012,14434.807496,6520.1431619999985,0.0,8,0.9030899869919435,10-15yrs,53.0,40-55yrs,12.0,1.0791812460476249,10-20yrs,4.179093103150455,up_100m2,4.916943584480837,up_100k,3.447338753302872,2.5-5k,4.348762654545947,up_25k,4.159410996461809,up_25k,0.0,up_25k,3.8142571315883673,up_25k
773,FIXED / LAND PHONE,0,2,0,0,Very High,SA,Right,103.8366,None,Low,2.0,2.0,0.0,0.0,Urban,133414.27339499994,36279.80811000001,4595.5494,23340.233096,10607.334762,0.0,8,0.9030899869919435,15-20yrs,37.0,up_40yrs,28.0,1.4471580313422192,20-30yrs,4.652402947559242,100-200m2,5.125202295285783,100-250k,3.6623374389267735,2.5-5k,4.559664981337657,25-40k,4.368105188975892,up_25k,0.0,up_25k,4.025606275177231,up_25k
774,MOBILE PHONE,0,2,0,0,Low,AL,Right,240.932,None,Low,1.0,1.0,0.0,1.0,Urban,17050.882094999994,4324.620510000002,487.01340000000016,2949.774696,32916.04156200001,0.0,7,0.8450980400142568,10-15yrs,61.0,55-65yrs,120.0,2.0791812460476247,>60yrs,5.488656694935575,200-300m2,4.231746851309845,up_100k,2.687540910836802,up_2.5k,3.635948003675083,up_25k,3.4697888458016597,up_25k,0.0,up_25k,4.517407602021819,25-50k
775,MOBILE PHONE,0,2,0,0,Low,LL,Right,82.6378,None,Low,0.0,2.0,1.0,1.0,Urban,209902.85959500002,16145.37351,2006.8254,10492.527495999999,4710.8131619999995,0.0,8,0.9030899869919435,10-15yrs,39.0,up_40yrs,12.0,1.0791812460476249,10-20yrs,4.426495571010289,up_100m2,5.322018355199216,100-250k,3.3025095891715557,up_2.5k,4.208048096516735,up_25k,4.020880115967437,up_25k,0.0,up_25k,3.6730958798014877,up_25k
776,MOBILE PHONE,0,6,0,1,Very High,SA,Right,289.97600000000006,None,Low,0.0,1.0,1.0,0.0,Urban,247616.955495,42680.91051,3482.6634,23144.861096,27141.117762,1421417.7043200003,9,0.9542425094393249,>25yrs,42.0,40-55yrs,38.0,1.5797835966168101,30-40yrs,5.673240789543502,200-300m2,5.393780379547588,100-250k,3.541911501852232,2.5-5k,4.630233675636473,40-60k,4.364454578706138,up_25k,14.167166018370947,>1MM,4.433627729391241,25-50k
777,FIXED / LAND PHONE,0,2,0,0,High,BA,Right,102.4966,None,Low,0.0,0.0,0.0,1.0,Urban,150676.16089499995,41020.18011,5205.0114,26365.041896,11995.586562,0.0,8,0.9030899869919435,20-25yrs,41.0,40-55yrs,51.0,1.7075701760979363,50-60yrs,4.639538761924297,100-200m2,5.178044546204992,100-250k,3.7164216850380387,5-7.5k,4.6129975629218505,40-60k,4.421028465794058,25-50k,0.0,up_25k,4.079021489020116,up_25k
778,MOBILE PHONE,0,2,0,0,High,CA,Right,41.4328,None,Low,3.0,2.0,1.0,1.0,Rustic,188037.513495,51280.18371000001,6524.1594,32911.906696000005,15000.304362,0.0,8,0.9030899869919435,10-15yrs,42.0,40-55yrs,14.0,1.146128035678238,10-20yrs,3.7479216480809927,up_100m2,5.274244499682028,100-250k,3.814524563296308,5-7.5k,4.709949572362874,40-60k,4.517353043144105,25-50k,0.0,up_25k,4.176100071148753,up_25k
779,FIXED / LAND PHONE,0,2,0,0,Medium,SA,Right,203.412,None,Low,2.0,0.0,1.0,0.0,Urban,176472.84739499996,48104.35371,6115.847400000002,30885.397896,28030.432362,33221.560320000004,7,0.8450980400142568,15-20yrs,61.0,55-65yrs,29.0,1.462397997898956,20-30yrs,5.320137565021151,200-300m2,5.2466778931025,100-250k,3.7864566405459166,5-7.5k,4.682184384204656,40-60k,4.489753200717392,25-50k,10.410984451841008,25-50k,4.447629796689384,25-50k
780,MOBILE PHONE,0,6,0,0,High,MA,Right,160.33100000000005,two,Low,0.0,1.0,1.0,1.0,Urban,364300.669395,99684.75951,12747.6054,20316.549896,29175.931362,17709.115319999994,9,0.9542425094393249,>25yrs,49.0,40-55yrs,19.0,1.2787536009528289,10-20yrs,5.083458155134018,100-200m2,5.561459969249842,250-500k,4.1054286114964755,>10k,4.998628765466609,80-100k,4.30784995910667,up_25k,9.78189124233106,up_25k,4.465024728605022,25-50k
781,FIXED / LAND PHONE,0,4,0,0,Medium,PO,Wrong,85.67960000000002,None,Low,0.0,0.0,1.0,0.0,Urban,223954.138395,71100.77751,3959.861400000001,42487.54669600001,8744.499762000001,160665.39432,9,0.9542425094393249,up_10yrs,64.0,55-65yrs,46.0,1.662757831681574,40-50yrs,4.462218561982845,up_100m2,5.350159092078793,100-250k,3.5976799853526344,2.5-5k,4.8518743499063675,60-80k,4.62826165490336,25-50k,11.987085409259457,100-250k,3.9417349702678752,up_25k
782,FIXED / LAND PHONE,0,2,0,0,Low,MA,Right,101.4916,two,Low,3.0,2.0,0.0,0.0,Urban,489631.127895,134102.42810999998,17172.7434,85760.381096,39255.387762,0.0,13,1.1139433523068367,up_10yrs,42.0,40-55yrs,15.0,1.1760912590556813,10-20yrs,4.629780844000766,100-200m2,5.689869019928565,250-500k,4.234839680618585,>10k,5.127436641425258,>100k,4.933286702240511,50-100k,0.0,up_25k,4.593899271647547,25-50k
783,MOBILE PHONE,0,2,0,0,Medium,BA,Right,65.0168,two,Low,0.0,0.0,0.0,0.0,Rustic,469739.407995,128639.86190999999,16470.4014,82274.719496,37655.625162,0.0,7,0.8450980400142568,10-15yrs,36.0,up_40yrs,16.0,1.2041199826559248,10-20yrs,4.189909255089773,up_100m2,5.6718569961143706,250-500k,4.216704183485526,>10k,5.109375565206014,>100k,4.915266410303427,50-100k,0.0,up_25k,4.575829862192391,25-50k
784,MOBILE PHONE,0,2,0,0,Low,BA,Right,104.6942,None,Low,3.0,2.0,1.0,0.0,Urban,158474.32789499994,43161.67611,5480.3574,27731.520296,12622.738962000001,38320.699320000014,7,0.8450980400142568,up_10yrs,64.0,55-65yrs,54.0,1.7323937598229686,50-60yrs,4.660550019090615,100-200m2,5.199958918562886,100-250k,3.7388088818030756,5-7.5k,4.635098301423061,40-60k,4.442973679100583,25-50k,10.553771576613046,25-50k,4.101153601106137,up_25k
785,FIXED / LAND PHONE,0,2,0,0,Low,ZA,Right,146.66299999999995,None,Low,0.0,1.0,0.0,1.0,Urban,201661.496595,13359.82851,8452.1574,32214.945896000005,11508.260562000001,0.0,8,0.9030899869919435,up_10yrs,41.0,40-55yrs,48.0,1.6812412373755872,40-50yrs,4.994932650368964,100-200m2,5.304622985904486,100-250k,3.9269675760890963,7.5-10k,4.125800883465971,up_25k,4.5080574062988985,25-50k,0.0,up_25k,4.061009686322019,up_25k
